Feature,Importance
% Silica Feed,0.125784
% Iron Feed,0.124789
Ore Pulp pH,0.119192
Ore Pulp Density,0.080689
Amina Flow,0.068012
Flotation Column 04 Air Flow,0.067898
Flotation Column 03 Level,0.055493
Flotation Column 05 Air Flow,0.053839
Flotation Column 05 Level,0.053833
Starch Flow,0.045143
Flotation Column 01 Level,0.036363
Flotation Column 02 Level,0.033479
Flotation Column 01 Air Flow,0.028192
Ore Pulp Flow,0.021950
Flotation Column 06 Air Flow,0.016240
Flotation Column 02 Air Flow,0.015853
Flotation Column 06 Level,0.014444
Flotation Column 03 Air Flow,0.014393
Flotation Column 04 Level,0.009651
Flotation Column 07 Air Flow,0.007834
Flotation Column 07 Level,0.006929
